0028e10 5c94 7577 a364 1bb2 7516 6435 720d 68ce
0028e20 442f 6616 4f00 1056 296b 735a fd27 c932
0028e30 fd0c 6ddf bcd4 9da5 c463 5d56 1e91 c175
0028e40 ce34 3f96 2e13 e5fb d824 7134 6474 3317
0028e50 03b8 1976 93c8 af76 ad1e 8d09 c53a 4589
0028e60 f579 c8fa c626 707d 7f8b 7939 5a2f fe21
0028e70 2b58 3762 c3e6 02a9 6d78 4a30 d528 4b45
0028e80 9818 0404 fcde b32e db87 e3bc 0f87 95e7
0028e90 0915 35c8 d724 f50b e4a4 4f9f e9a6 024a
0028ea0 d4fe cbb8 e5af 7dca 8794 3178 6ce9 9aad
0028eb0 e766 0533 8c98 3a95 6be7 58d2 7e0f 4cc3
0028ec0 2999 f5c8 174f 615e 79f8 2705 3cb9 49cd
0028ed0 9703 7f85 fc91 25d5 1953 6402 888f d098
0028ee0 47b6 2f64 c0df 8ced cf81 a0a0 ace6 0da8
0028ef0 f60d 04ce 8399 3d4c 3b60 f7dc cc22 b937
0028f00 ce52 3eca 8ca8 4760 c28c 20db 7487 7520
0028f10 ea4c 3909 9ffb 74d4 3048 554b da96 bbbf
0028f20 dad9 0adf fa5a 5dbb 7aa7 5a87 66ff e816
0028f30 e890 9e03 934b 56c2 c7f8 c858 c174 2bd0
0028f40 23a6 2a24 00b7 96bf 0bed 7d5e 79fe b4e3
0028f50 b4e3 49d5 bd2f 61f2 9e4b 3d0a 6e90 efd7
0028f60 d0b2 f361 755a 5956 0b30 4478 f768 8a0b
0028f70 e659 e66c dc4b daea c776 5127 fb0c 1f80
