0079a60 848f ffda 1521 cc0f 5978 3113 00f2 fc41
0079a70 28fd 7dea 24db c819 09a3 af4f 0749 c8b4
0079a80 88af 638a f6f2 668a c211 28d3 bd7b 49ec
0079a90 0916 97f6 ada2 264e 7b24 9f88 978a e649
0079aa0 1a3c 7602 9c1c ac5b a1ad b748 f40f 6898
0079ab0 27d5 742f f3c9 d77c 5955 c10b e9dc 6ec3
0079ac0 0e35 40c7 94d7 bd1a a21b 5cc1 dd3f fd32
0079ad0 fde7 d82b e30f 734c 9c9d 446a d17f f28e
0079ae0 4918 0129 ba80 e85c 7789 8390 4c1d e437
0079af0 8a6b 5d10 9230 53e9 1689 7433 7cf9 ef0f
0079b00 dc5d fa0b ccfc 18b8 b57f d5d9 e47f bcfe
0079b10 5a00 a532 67d6 702b a82e a79a 581f 0322
0079b20 ca98 5b94 6973 2112 5c1a 5e84 c3ab dc71
0079b30 807b 9b34 4f21 539b fe91 dcfb 4010 7145
0079b40 5cd6 bbfb 8a85 da1e e09e abeb a4c0 c1ae
0079b50 b2bc 9e75 ec0c 0e0c ea60 ae19 b450 9df7
0079b60 e5cf 92c6 3b15 f2d9 3ba0 cfe3 dd1d 68b4
0079b70 12e7 d34b a7ab 9f2c 42c0 3690 87bd 46c5
0079b80 fd95 2109 cbff b4f2 68b9 2e5c cca9 f2da
0079b90 9e30 640a 8f0b 86a5 be41 4753 382f 2efc
0079ba0 a47f eb9c 7744 95c8 d2b0 9ea3 b168 5789
0079bb0 c542 f956 d539 8cd1 12ad 69ea f2d7 d7f3
0079bc0 3e37 df5d 1512 bc18 86e0 6dfc a667 0d0e
